Name,Origin,Processing,Dry Fragrance,Wet Aroma,Brightness,Flavor,Body (Cupping),Finish,Sweetness,Clean Cup,Complexity,Uniformity,Floral,Honey,Sugars,Caramel,Fruits,Citrus,Berry,Cocoa,Nuts,Rustic,Spice,Body (Flavor),Total Score
Rwanda Ngororero Matyazo,East Africa,Wet Process,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,3.0,3.0,8.9,9.1,8.7,9.1,8.7,9.0,8.7,8.5,9.2,8.2,88.10000000000001
Rwanda Nyamasheke Cyato,East Africa,Wet Process,1.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,3.0,3.0,8.8,9.0,8.7,9.0,8.7,8.8,8.6,8.0,9.0,8.2,86.8
Rwanda Nyamasheke Gitwe,East Africa,Wet Process,0.0,0.0,3.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,3.0,2.0,8.7,8.7,8.6,8.7,8.1,8.6,8.6,8.5,8.7,8.2,85.4
Rwanda Nyamasheke Kanyege,East Africa,Wet Process,0.0,2.0,3.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,3.0,8.6,8.8,8.6,8.7,8.5,8.6,8.7,8.5,8.7,8.2,85.9
Rwanda Nyamasheke Kanyege Station,East Africa,Wet Process,1.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,3.0,3.0,8.7,8.9,8.7,8.8,8.8,8.7,8.7,8.8,8.8,8.2,87.10000000000001
Rwanda Nyamasheke Karambi,East Africa,Wet Process,0.0,1.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,8.4,8.9,8.7,9.0,8.3,8.8,8.6,8.5,8.8,8.3,86.29999999999998
Costa Rica Helsar Macho Arce,South America,Machine Washed,0.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,3.0,8.5,8.5,8.5,8.6,8.8,8.4,8.5,9.0,8.0,8.5,85.30000000000001
Rwanda Nyamasheke Mutovu,East Africa,Wet Process,1.0,2.0,4.0,3.0,2.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,8.8,8.9,8.7,8.9,8.7,8.9,9.0,8.5,8.9,8.2,87.50000000000001
Rwanda Nyamasheke Nyakabingo,East Africa,Wet Process,1.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,3.0,4.0,9.0,9.1,8.8,9.2,9.0,8.8,9.0,8.8,9.2,8.3,89.2
Rwanda Rulindo Bushoki Peaberry,East Africa,Wet Process,0.0,1.0,3.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,4.0,3.0,9.0,9.0,8.8,9.2,8.8,9.1,8.6,8.5,9.2,8.5,88.7
